11. Messagerie du ministere;12. Messagerie autre (ex: gmail);13. Messagerie instantanee interministerielle (Tchap);14. Messagerie instantanee autre (ex: WhatsApp);15. Visio-conference du ministere;16. Viso-conference interministeriel (WebConf);17. Visio-conference autre (ex: Skype);18. Outils collaboratifs du ministere;19. Outils collaboratifs interministeriels (OSMOSE, PLANO, RESAN;20. Outils collaboratifs autres;21. Audio-conference telephonique
Tres utile;Non utilise;Non utilise;Pas utile;Non utilise;Utile;Non utilise;Utile;Utile;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Utile;Utile;Non utilise;Inconnu;Pas utile;Inconnu;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Pas utile;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Pas utile;Non utilise;Utile;Tres utile;Utile;Pas utile;Pas utile;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Inconnu;Inconnu;Non utilise;Inconnu;Pas utile;Non utilise;Utile
Tres utile;Non utilise;Non utilise;Tres utile;Tres utile;Non utilise;Utile;Tres utile;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Pas utile;Utile;Non utilise;Non utilise;Tres utile;Inconnu;Utile;Tres utile
Tres utile;Utile;Non utilise;Utile;Tres utile;Non utilise;Non utilise;Non utilise;Inconnu;Non utilise;Tres utile
Tres utile;Utile;Pas utile;Tres utile;Utile;Inconnu;Tres utile;Non utilise;Non utilise;Inconnu;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Tres utile;Utile;Non utilise;Inconnu;Inconnu;Inconnu;Tres utile
Tres utile;Pas utile;Non utilise;Pas utile;Non utilise;Non utilise;Tres utile;Tres utile;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Tres utile;Tres utile;Non utilise;Pas utile;Non utilise;Utile;Non utilise
Utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Tres utile;Non utilise;Tres utile
Inconnu;Non utilise;Inconnu;Inconnu;Non utilise;Non utilise;Non utilise;Non utilise;Pas utile;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Utile;Non utilise;Tres utile;Utile;Non utilise;Pas utile;Tres utile;Tres utile
Tres utile;Inconnu;Inconnu;Inconnu;Utile;Inconnu;Inconnu;Inconnu;Inconnu;Utile;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Utile;Utile;Non utilise;Non utilise;Inconnu;Non utilise;Utile
Tres utile;Non utilise;Non utilise;Non utilise;Pas utile;Pas utile;Non utilise;Utile;Utile;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Tres utile;Inconnu;Non utilise;Non utilise;Non utilise;Non utilise;Utile
Pas utile;Tres utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Inconnu;Inconnu;Inconnu;Non utilise
